date,station,aqi,aqi_category,pm25,pm10,no2,nh3,so2,co,o3,pb,temperature,humidity,wind_speed,wind_direction,pressure,year,month,day_of_week,day_of_year,season,aqi_saturated,split
2015-01-01,noida_sector_1,500.0,Severe,291.2,567.1,70.4,34.7,19.3,4.43,33.2,0.12,14.4,84.1,5.0,295.0,1032.5,2015,1,3,1,Winter,1,Train
2015-01-02,noida_sector_1,500.0,Severe,304.4,578.6,65.4,25.3,16.4,4.27,33.1,0.12,14.9,80.9,8.0,356.0,1033.8,2015,1,4,2,Winter,1,Train
2015-01-03,noida_sector_1,500.0,Severe,275.9,536.8,78.2,37.3,17.9,4.81,25.5,0.13,13.3,82.9,4.7,264.0,1032.1,2015,1,5,3,Winter,1,Train
2015-01-04,noida_sector_1,475.0,Severe,363.4,453.6,70.7,28.0,16.9,4.06,35.6,0.13,13.1,84.6,3.7,279.0,1033.8,2015,1,6,4,Winter,0,Train
2015-01-05,noida_sector_1,471.0,Severe,283.3,501.7,79.7,33.0,16.6,4.62,25.5,0.11,16.3,74.8,5.2,293.0,1035.5,2015,1,0,5,Winter,0,Train
2015-01-06,noida_sector_1,500.0,Severe,337.3,569.4,71.4,34.7,14.2,4.21,30.9,0.13,11.6,73.7,7.0,312.0,1030.4,2015,1,1,6,Winter,1,Train
2015-01-07,noida_sector_1,500.0,Severe,286.7,584.6,81.9,27.2,16.5,4.57,19.2,0.12,13.3,76.1,7.1,305.0,1032.4,2015,1,2,7,Winter,1,Train
2015-01-08,noida_sector_1,457.0,Severe,309.8,487.5,74.0,30.9,15.8,4.43,36.2,0.13,10.6,87.1,1.8,245.0,1031.4,2015,1,3,8,Winter,0,Train
2015-01-09,noida_sector_1,447.0,Severe,320.6,450.4,78.7,23.5,18.0,4.19,21.1,0.12,14.4,80.6,5.7,317.0,1032.5,2015,1,4,9,Winter,0,Train
2015-01-10,noida_sector_1,478.0,Severe,309.4,508.7,81.4,24.2,16.4,4.12,33.5,0.12,16.5,80.7,8.6,311.0,1031.9,2015,1,5,10,Winter,0,Train
2015-01-11,noida_sector_1,487.0,Severe,317.3,517.1,71.9,38.1,15.3,4.0,39.4,0.13,13.9,79.0,5.6,279.0,1032.5,2015,1,6,11,Winter,0,Train
2015-01-12,noida_sector_1,500.0,Severe,309.4,576.2,71.3,23.6,16.5,3.98,14.2,0.13,11.5,73.4,3.6,291.0,1032.9,2015,1,0,12,Winter,1,Train
2015-01-13,noida_sector_1,443.0,Severe,315.7,445.3,76.6,26.8,21.2,4.09,23.5,0.11,11.4,77.9,7.5,327.0,1034.0,2015,1,1,13,Winter,0,Train
2015-01-14,noida_sector_1,500.0,Severe,290.6,539.9,71.1,27.8,18.9,4.22,31.8,0.13,9.5,82.3,4.6,289.0,1035.9,2015,1,2,14,Winter,1,Train
2015-01-15,noida_sector_1,500.0,Severe,362.3,541.4,78.0,30.6,15.6,4.52,37.9,0.12,11.8,79.8,0.8,288.0,1034.1,2015,1,3,15,Winter,1,Train
2015-01-16,noida_sector_1,479.0,Severe,323.2,509.8,68.4,31.8,15.8,4.14,37.8,0.11,13.3,85.1,3.2,306.0,1033.3,2015,1,4,16,Winter,0,Train
