date,station,aqi,split,roll_mean_aqi_7,roll_mean_aqi_30,roll_std_aqi_7,roll_trend_aqi_7,roll_trend_aqi_30,roll_aqi_momentum,roll_episode_flag,roll_mean_pm25_7,roll_mean_pm10_7,roll_std_pm25_7,lag_aqi_1,lag_aqi_7,lag_aqi_14,lag_aqi_30,lag_pm25_1,lag_pm25_7,lag_pm10_1,lag_co_1,lag_no2_1,lag_temperature_1,lag_wind_speed_1,pm25,pm10,co,no2,o3,so2,nh3,temperature,humidity,wind_speed,pressure,sin_month,cos_month,sin_day_of_year,cos_day_of_year,sin_day_of_week,cos_day_of_week,season_Winter,season_Monsoon,season_Summer,season_Spring,year,quarter,is_weekend,is_covid_lockdown,is_diwali,is_stubble_burning,aqi_saturated,station_encoded,station_season_mean_winter,interact_pm25_humidity,interact_pm25_pm10_ratio,interact_co_pm25,interact_pm10_wind_accum,interact_temp_o3,interact_lag_aqi1_winter,interact_wind_speed_sq,interact_pm25_stubble
2015-01-31,noida_sector_1,432.0,train,458.1428571428572,477.2,42.63577750914748,9.428571428571429,-0.8378197997775307,11.5238,1,308.74285714285713,484.2714285714286,45.40395934067343,487.0,386.0,416.0,500.0,339.5,232.3,517.6,4.11,70.7,9.3,4.4,298.6,452.5,4.48,82.8,20.6,15.8,30.1,12.1,74.5,4.0,1030.8,0.5,0.866025,0.508356,0.861147,-0.974928,-0.222521,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,222.457,0.6599,1337.728,90.5,2.4926,487.0,16.0,0.0
2015-02-01,noida_sector_1,463.0,train,464.7142857142857,474.9333333333333,31.84187120608278,-3.678571428571429,-0.9721913236929922,8.2857,1,318.2142857142857,497.4285714285714,31.624169479025007,432.0,500.0,500.0,500.0,298.6,335.3,452.5,4.48,82.8,12.1,4.0,344.6,451.5,4.36,85.0,31.5,15.1,27.5,14.8,81.6,4.4,1032.3,0.866025,0.5,0.523094,0.852275,-0.781831,0.62349,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,281.1936,0.7632,1502.456,83.6111,4.662,432.0,19.36,0.0
2015-02-02,noida_sector_1,485.0,train,459.4285714285714,473.7,27.82598990666309,1.1785714285714286,-0.8763070077864293,1.2381,1,319.5428571428571,474.57142857142856,32.64061157223506,463.0,461.0,479.0,500.0,344.6,342.5,451.5,4.36,85.0,14.8,4.4,378.5,429.5,3.84,85.8,33.7,19.9,28.4,13.2,73.2,2.0,1031.9,0.866025,0.5,0.537677,0.843151,0.0,1.0,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,277.062,0.8813,1453.44,143.1667,4.4484,463.0,4.0,0.0
2015-02-03,noida_sector_1,408.0,train,462.8571428571428,473.2,29.481228894719752,4.142857142857143,-0.6220244716351502,-2.8571,1,324.68571428571425,478.0857142857143,39.064537565906186,485.0,451.0,492.0,475.0,378.5,274.7,429.5,3.84,85.8,13.2,2.0,262.8,334.6,3.93,65.9,38.1,17.5,31.8,12.2,77.7,4.8,1029.6,0.866025,0.5,0.552101,0.833777,0.781831,0.62349,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,204.1956,0.7854,1032.804,57.6897,4.6482,485.0,23.04,0.0
2015-02-04,noida_sector_1,431.0,train,456.7142857142857,470.9666666666666,36.10038912862432,-3.4285714285714284,-1.0302558398220247,-4.7143,1,322.9857142857143,457.1,41.767747867281074,408.0,422.0,500.0,471.0,262.8,283.9,334.6,3.93,65.9,12.2,4.8,297.3,409.2,4.06,65.0,30.8,17.3,24.9,13.9,83.6,3.8,1031.3,0.866025,0.5,0.566362,0.824157,0.974928,-0.222521,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,248.5428,0.7265,1207.038,85.25,4.2812,408.0,14.44,0.0
2015-02-05,noida_sector_1,430.0,train,458.0,469.6333333333333,34.7946356018664,-11.142857142857142,-1.2878754171301443,-16.6667,1,324.90000000000003,452.7142857142857,39.945129031376695,431.0,500.0,500.0,500.0,297.3,353.0,409.2,4.06,65.0,13.9,3.8,295.0,385.1,4.32,89.0,29.8,18.4,28.1,9.4,67.7,3.6,1031.5,0.866025,0.5,0.580455,0.814292,0.433884,-0.900969,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,199.715,0.766,1274.4,83.7174,2.8012,431.0,12.96,0.0
2015-02-06,noida_sector_1,500.0,train,448.0,467.3,30.5068298363935,-8.142857142857142,-1.3341490545050056,-25.0,1,316.61428571428576,425.7142857142857,39.1524979437851,430.0,487.0,485.0,500.0,295.0,339.5,385.1,4.32,89.0,9.4,3.6,313.2,561.0,4.11,83.1,39.8,14.8,28.8,10.4,65.6,3.3,1031.0,0.866025,0.5,0.594376,0.804187,-0.433884,-0.900969,1,0,0,0,2015,1,0,0,0,0,1,0,405.8392,205.4592,0.5583,1287.252,130.4651,4.1392,430.0,10.89,0.0
2015-02-07,noida_sector_1,458.0,train,449.8571428571428,467.3,33.52326839390106,3.0,-0.8976640711902113,3.8095,1,312.85714285714283,431.9142857142857,37.82987607446694,500.0,432.0,386.0,457.0,313.2,298.6,561.0,4.11,83.1,10.4,3.3,300.6,488.9,4.17,85.2,35.8,15.4,29.0,14.1,86.9,4.6,1032.9,0.866025,0.5,0.608121,0.793844,-0.974928,-0.222521,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,261.2214,0.6148,1253.502,87.3036,5.0478,500.0,21.16,0.0
2015-02-08,noida_sector_1,428.0,train,453.57142857142856,467.3333333333333,32.64382097149551,1.3214285714285714,-1.028698553948832,9.0952,1,313.1428571428572,437.11428571428576,37.711618772948384,458.0,463.0,500.0,447.0,300.6,344.6,488.9,4.17,85.2,14.1,4.6,293.3,453.0,4.45,67.0,29.5,19.1,35.8,11.2,73.4,1.9,1032.5,0.866025,0.5,0.621687,0.783266,-0.781831,0.62349,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,215.2822,0.6475,1305.185,156.2069,3.304,458.0,3.61,0.0
2015-02-09,noida_sector_1,423.0,train,448.57142857142856,466.7,33.624679145220846,-0.0714285714285714,-1.4226918798665185,13.4286,1,305.8142857142857,437.3285714285715,35.49936283801114,428.0,485.0,461.0,478.0,293.3,378.5,453.0,4.45,67.0,11.2,1.9,259.0,453.8,3.81,71.0,27.6,18.1,28.2,10.9,72.7,5.2,1030.8,0.866025,0.5,0.635068,0.772456,0.0,1.0,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,188.293,0.5707,986.79,73.1935,3.0084,428.0,27.04,0.0
