Model,Type,rmse,mae,mape,r2,Val_RMSE
Hist Gradient Boosting,ML,1.5273,0.8302,0.5066,0.9998,
Decision Tree,ML,2.0873,0.4222,0.2821,0.9996,
Gradient Boosting,ML,5.2892,3.6038,2.015,0.9976,
Linear Regression,ML,12.9597,9.5855,5.6305,0.9859,
Ridge Regression,ML,12.9738,9.592,5.6366,0.9858,
CNN-LSTM,DL,22.1738,15.6031,7.7313,0.9582,20.1594
LSTM,DL,22.6535,15.8537,7.7278,0.9564,20.3609
GRU,DL,22.8273,16.4843,8.0163,0.9557,21.3312
Persistence lag-1,Baseline,29.501,20.0664,9.5391,0.9267,
Persistence lag-7,Baseline,33.3514,23.3032,11.5466,0.9063,
