feature,importance
interact_co_pm25,0.1205969862066819
pm25,0.12050750112749109
lag_aqi_7,0.09404716983444937
lag_aqi_1,0.08459170162916171
roll_mean_aqi_7,0.0807189598434741
lag_pm25_1,0.059086204827259126
roll_mean_pm25_7,0.055549318609463674
interact_pm25_humidity,0.05446723155592095
co,0.04934857194642146
lag_pm25_7,0.03953405318470399
cos_month,0.027572675732823012
roll_episode_flag,0.02679315679608032
lag_co_1,0.026057658333649807
lag_temperature_1,0.02510327562399833
pm10,0.022013804733270984
roll_mean_pm10_7,0.01799753182159458
lag_pm10_1,0.01726919618602501
roll_mean_aqi_30,0.016839131626537662
interact_pm10_wind_accum,0.016624295323362542
roll_std_pm25_7,0.011819748243748004
pressure,0.006424401465721589
lag_aqi_14,0.005563994808171463
cos_day_of_year,0.0038499440234449
temperature,0.003244243475073353
interact_pm25_pm10_ratio,0.002988380752470555
interact_lag_aqi1_winter,0.001258053833042628
sin_day_of_year,0.0009810587374072903
roll_trend_aqi_30,0.0008861429439514108
interact_wind_speed_sq,0.000878559114416655
roll_std_aqi_7,0.0008669370740511655
