Model,Split,RMSE,MAE,MAPE,R²,sMAPE,Train_time_s
Persistence lag-1,Val,27.56,20.05,9.45,0.9393,9.36,0.0
Persistence lag-1,Test,29.5,20.07,9.54,0.9267,9.35,0.0
Persistence lag-7,Val,31.71,22.79,11.02,0.9197,10.91,0.0
Persistence lag-7,Test,33.35,23.3,11.55,0.9063,11.05,0.0
Linear Regression,Val,13.16,9.98,6.24,0.9862,6.38,0.02
Linear Regression,Test,12.96,9.59,5.63,0.9859,5.74,0.02
Ridge (α=1.0),Val,13.16,9.96,6.22,0.9862,6.36,0.01
Ridge (α=1.0),Test,12.97,9.59,5.64,0.9858,5.74,0.01
Decision Tree (depth=15),Val,1.61,0.39,0.24,0.9998,0.24,0.16
Decision Tree (depth=15),Test,2.09,0.42,0.28,0.9996,0.28,0.16
Random Forest,Val,6.95,4.67,2.57,0.9961,2.54,5.04
Random Forest,Test,8.26,5.18,2.85,0.9943,2.8,5.04
Gradient Boosting,Val,4.57,3.17,1.75,0.9983,1.74,3.81
Gradient Boosting,Test,5.29,3.6,2.02,0.9976,2.0,3.81
Hist Gradient Boosting,Val,1.31,0.79,0.49,0.9999,0.49,0.88
Hist Gradient Boosting,Test,1.53,0.83,0.51,0.9998,0.51,0.88
