season,feature,mean_abs_shap,category
Winter,roll_mean_aqi_7,19.4215,Rolling
Winter,roll_mean_aqi_30,19.4214,Rolling
Winter,roll_std_aqi_7,19.4218,Rolling
Winter,roll_trend_aqi_7,19.4215,Rolling
Winter,roll_trend_aqi_30,19.4204,Rolling
Winter,roll_aqi_momentum,19.4189,Rolling
Winter,roll_episode_flag,19.4204,Rolling
Winter,roll_mean_pm25_7,19.4211,Rolling
Winter,roll_mean_pm10_7,19.4206,Rolling
Winter,roll_std_pm25_7,118.8443,Rolling
Winter,lag_aqi_1,19.4206,Lag
Winter,lag_aqi_7,19.4203,Lag
Winter,lag_aqi_14,19.4211,Lag
Winter,lag_aqi_30,118.8443,Lag
Winter,lag_pm25_1,19.4229,Lag
Winter,lag_pm25_7,118.8443,Lag
Winter,lag_pm10_1,19.4323,Lag
Winter,lag_co_1,19.4184,Lag
Winter,lag_no2_1,19.4205,Lag
Winter,lag_temperature_1,19.4285,Lag
Winter,lag_wind_speed_1,19.417,Lag
Winter,pm25,36.0015,Raw Pollutant/Meteo
Winter,pm10,19.8202,Raw Pollutant/Meteo
Winter,co,19.3933,Raw Pollutant/Meteo
Winter,no2,19.4203,Raw Pollutant/Meteo
Winter,o3,19.4204,Raw Pollutant/Meteo
Winter,so2,19.4184,Raw Pollutant/Meteo
Winter,nh3,19.4209,Raw Pollutant/Meteo
Winter,temperature,19.4157,Raw Pollutant/Meteo
Winter,humidity,19.4173,Raw Pollutant/Meteo
Winter,wind_speed,118.8443,Raw Pollutant/Meteo
Winter,pressure,19.4212,Raw Pollutant/Meteo
Winter,sin_month,19.4184,Cyclical
Winter,cos_month,19.4204,Cyclical
Winter,sin_day_of_year,19.4184,Cyclical
Winter,cos_day_of_year,19.4204,Cyclical
Winter,sin_day_of_week,19.4224,Cyclical
Winter,cos_day_of_week,118.8443,Cyclical
Winter,season_Winter,19.4184,Season
Winter,season_Monsoon,19.4211,Season
Winter,season_Summer,19.4217,Season
Winter,season_Spring,19.4184,Season
Winter,year,118.8443,Raw Pollutant/Meteo
Winter,quarter,19.4184,Raw Pollutant/Meteo
Winter,is_weekend,19.4215,Event
Winter,is_covid_lockdown,19.4184,Event
Winter,is_diwali,19.4204,Event
Winter,is_stubble_burning,19.4215,Event
Winter,aqi_saturated,19.3092,Raw Pollutant/Meteo
Winter,station_encoded,118.8443,Station
Winter,station_season_mean_winter,19.4184,Station
Winter,interact_pm25_humidity,19.4407,Interaction
Winter,interact_pm25_pm10_ratio,19.2859,Interaction
Winter,interact_co_pm25,118.8443,Interaction
Winter,interact_pm10_wind_accum,19.4204,Interaction
Winter,interact_temp_o3,19.4189,Interaction
Winter,interact_lag_aqi1_winter,19.4195,Interaction
Winter,interact_wind_speed_sq,19.4215,Interaction
Winter,interact_pm25_stubble,19.4211,Interaction
Spring,roll_mean_aqi_7,31.264,Rolling
Spring,roll_mean_aqi_30,31.267,Rolling
Spring,roll_std_aqi_7,31.2674,Rolling
Spring,roll_trend_aqi_7,31.2817,Rolling
Spring,roll_trend_aqi_30,31.2723,Rolling
Spring,roll_aqi_momentum,31.292,Rolling
Spring,roll_episode_flag,31.2685,Rolling
Spring,roll_mean_pm25_7,31.2343,Rolling
Spring,roll_mean_pm10_7,31.2315,Rolling
Spring,roll_std_pm25_7,191.4775,Rolling
Spring,lag_aqi_1,31.2726,Lag
