Station,Variable,Count,Mean,Std,Min,P25,Median,P75,Max,Skew
Sector-1,aqi,4195,280.1,122.43,49.0,157.0,318.0,371.0,500.0,-0.32
Sector-1,PM₂.₅ (µg/m³),4195,149.86,78.83,28.7,76.4,143.8,210.05,378.5,0.38
Sector-1,PM₁₀ (µg/m³),4195,256.25,128.43,44.5,142.2,252.5,350.9,623.0,0.3
Sector-1,NO₂ (µg/m³),4195,52.46,13.34,16.9,42.75,51.6,61.2,92.9,0.24
Sector-1,NH₃ (µg/m³),4195,22.18,5.34,5.0,18.3,22.1,25.8,39.2,0.09
Sector-1,SO₂ (µg/m³),4195,14.15,3.05,4.8,12.0,14.1,16.3,24.0,0.04
Sector-1,CO (mg/m³),4195,2.12,1.11,0.25,1.13,2.08,2.97,4.87,0.26
Sector-1,O₃ (µg/m³),4195,41.48,18.27,6.0,29.1,35.0,48.0,104.2,1.09
Sector-1,Pb (µg/m³),4195,0.06,0.03,0.01,0.03,0.06,0.09,0.14,0.26
Sector-1,Temperature (°C),4195,26.04,9.93,7.1,16.5,26.0,35.8,45.0,0.01
Sector-1,Humidity (%),4195,67.65,13.46,23.9,61.7,71.0,77.3,93.8,-1.05
Sector-1,Wind Speed (km/h),4195,7.86,3.31,0.8,5.3,7.8,10.4,17.9,0.05
Sector-1,Pressure (hPa),4195,1015.58,12.4,994.0,1003.4,1015.7,1027.8,1036.3,-0.01
Sector-62,aqi,4196,272.1,116.72,56.0,153.0,313.0,361.0,500.0,-0.39
Sector-62,PM₂.₅ (µg/m³),4196,143.89,73.3,27.8,75.5,137.8,199.32,390.7,0.38
Sector-62,PM₁₀ (µg/m³),4196,236.11,115.16,48.2,134.05,234.0,318.73,571.7,0.31
Sector-62,NO₂ (µg/m³),4196,49.64,12.73,17.5,40.5,48.5,58.1,91.3,0.29
Sector-62,NH₃ (µg/m³),4196,23.89,5.44,7.7,19.9,23.6,27.7,40.3,0.16
Sector-62,SO₂ (µg/m³),4196,11.96,2.56,3.7,10.1,12.0,13.8,19.3,0.02
Sector-62,CO (mg/m³),4196,1.99,1.01,0.22,1.09,1.95,2.78,4.52,0.23
Sector-62,O₃ (µg/m³),4196,40.4,18.49,7.0,27.8,33.95,46.82,97.6,1.09
Sector-62,Pb (µg/m³),4196,0.05,0.03,0.01,0.03,0.05,0.08,0.13,0.25
Sector-62,Temperature (°C),4196,25.92,9.97,6.5,16.4,25.9,35.42,45.7,0.02
Sector-62,Humidity (%),4196,67.73,13.45,23.6,61.3,71.1,77.6,94.3,-0.96
Sector-62,Wind Speed (km/h),4196,7.89,3.43,0.9,5.2,7.9,10.5,17.2,0.04
Sector-62,Pressure (hPa),4196,1015.85,12.63,995.2,1003.38,1015.95,1028.32,1037.7,-0.0
