,AQI,PM₂.₅,PM₁₀,NO₂,NH₃,SO₂,CO,O₃,Pb,Temp,Humid.,Wind,Pressure
AQI,1.0,0.951,0.941,0.723,0.508,0.176,0.932,-0.425,0.926,-0.891,0.459,-0.723,0.913
PM₂.₅,0.951,1.0,0.936,0.755,0.535,0.215,0.951,-0.436,0.945,-0.88,0.494,-0.716,0.902
PM₁₀,0.941,0.936,1.0,0.744,0.536,0.218,0.944,-0.365,0.938,-0.877,0.418,-0.697,0.882
NO₂,0.723,0.755,0.744,1.0,0.669,0.488,0.758,-0.351,0.758,-0.55,0.383,-0.48,0.596
NH₃,0.508,0.535,0.536,0.669,1.0,0.503,0.543,-0.226,0.538,-0.328,0.239,-0.283,0.357
SO₂,0.176,0.215,0.218,0.488,0.503,1.0,0.216,-0.025,0.218,0.025,0.01,0.026,-0.022
CO,0.932,0.951,0.944,0.758,0.543,0.216,1.0,-0.443,0.953,-0.885,0.503,-0.721,0.909
O₃,-0.425,-0.436,-0.365,-0.351,-0.226,-0.025,-0.443,1.0,-0.433,0.372,-0.75,0.442,-0.512
Pb,0.926,0.945,0.938,0.758,0.538,0.218,0.953,-0.433,1.0,-0.878,0.5,-0.715,0.902
Temp,-0.891,-0.88,-0.877,-0.55,-0.328,0.025,-0.885,0.372,-0.878,1.0,-0.435,0.747,-0.944
Humid.,0.459,0.494,0.418,0.383,0.239,0.01,0.503,-0.75,0.5,-0.435,1.0,-0.488,0.583
Wind,-0.723,-0.716,-0.697,-0.48,-0.283,0.026,-0.721,0.442,-0.715,0.747,-0.488,1.0,-0.796
Pressure,0.913,0.902,0.882,0.596,0.357,-0.022,0.909,-0.512,0.902,-0.944,0.583,-0.796,1.0
