feature,pearson_r_with_aqi,abs_r
roll_mean_aqi_7,0.9779,0.9779
roll_mean_aqi_3,0.9767,0.9767
roll_median_aqi_7,0.9765,0.9765
roll_median_aqi_3,0.9747,0.9747
roll_mean_aqi_14,0.972,0.972
roll_max_aqi_3,0.9714,0.9714
roll_median_aqi_14,0.9708,0.9708
roll_min_aqi_3,0.9706,0.9706
roll_max_aqi_7,0.9702,0.9702
roll_min_aqi_7,0.9677,0.9677
lag_aqi_1,0.9663,0.9663
lag_aqi_2,0.966,0.966
lag_aqi_3,0.9646,0.9646
roll_max_aqi_14,0.9617,0.9617
lag_aqi_7,0.9577,0.9577
roll_min_aqi_14,0.9576,0.9576
pm25,0.9503,0.9503
roll_mean_pm25_7,0.9422,0.9422
roll_mean_aqi_30,0.9415,0.9415
roll_median_pm25_7,0.9399,0.9399
roll_median_aqi_30,0.9394,0.9394
roll_mean_pm25_14,0.939,0.939
roll_mean_pm10_7,0.9389,0.9389
roll_mean_pm25_3,0.9382,0.9382
roll_mean_pm10_3,0.9379,0.9379
roll_median_pm25_14,0.9377,0.9377
roll_max_pm25_7,0.9376,0.9376
roll_median_pm10_7,0.9369,0.9369
roll_max_pm25_14,0.9359,0.9359
roll_median_pm25_3,0.9348,0.9348
roll_median_pm10_3,0.9347,0.9347
roll_max_pm25_3,0.934,0.934
roll_max_pm10_7,0.9337,0.9337
roll_max_pm10_3,0.9335,0.9335
pm10,0.933,0.933
lag_aqi_14,0.9325,0.9325
roll_mean_pm10_14,0.9305,0.9305
roll_min_pm25_7,0.9296,0.9296
roll_median_pm10_14,0.9295,0.9295
roll_min_pm25_3,0.9281,0.9281
roll_min_pm10_3,0.9276,0.9276
co,0.9273,0.9273
lag_co_2,0.9265,0.9265
lag_co_1,0.9262,0.9262
roll_min_pm10_7,0.9261,0.9261
lag_co_3,0.9258,0.9258
roll_max_pm10_14,0.9252,0.9252
roll_max_aqi_30,0.9248,0.9248
roll_min_pm25_14,0.924,0.924
lag_pm10_1,0.9205,0.9205
lag_co_7,0.9204,0.9204
lag_pm25_2,0.92,0.92
lag_pm25_1,0.9198,0.9198
roll_min_aqi_30,0.9193,0.9193
lag_pm25_3,0.9188,0.9188
lag_pm10_2,0.9184,0.9184
roll_max_pm25_30,0.9177,0.9177
roll_mean_pm25_30,0.9166,0.9166
roll_min_pm10_14,0.9161,0.9161
lag_pm10_3,0.9155,0.9155
roll_median_pm25_30,0.9151,0.9151
lag_pm25_7,0.9139,0.9139
pb,0.9117,0.9117
pressure,0.9099,0.9099
interact_pm25_humidity,0.9081,0.9081
lag_pm10_7,0.9041,0.9041
lag_co_14,0.9023,0.9023
roll_mean_wind_speed_30,-0.8985,0.8985
roll_mean_temperature_3,-0.8968,0.8968
roll_mean_wind_speed_14,-0.8968,0.8968
cos_day_of_year,0.8965,0.8965
roll_min_pm25_30,0.8958,0.8958
roll_median_temperature_3,-0.8954,0.8954
roll_mean_pm10_30,0.8953,0.8953
lag_pm25_14,0.8948,0.8948
roll_median_pm10_30,0.894,0.894
roll_min_temperature_3,-0.8933,0.8933
roll_mean_temperature_7,-0.8932,0.8932
roll_max_temperature_3,-0.8926,0.8926
roll_median_temperature_7,-0.8925,0.8925
temperature,-0.8919,0.8919
roll_median_wind_speed_30,-0.8918,0.8918
roll_min_temperature_7,-0.8898,0.8898
lag_temperature_1,-0.8895,0.8895
roll_max_pm10_30,0.8889,0.8889
roll_max_temperature_7,-0.8873,0.8873
roll_median_wind_speed_14,-0.8859,0.8859
lag_temperature_2,-0.8858,0.8858
lag_temperature_3,-0.8835,0.8835
cos_week_of_year,0.8822,0.8822
roll_mean_temperature_14,-0.8804,0.8804
roll_median_temperature_14,-0.8803,0.8803
roll_min_pm10_30,0.8789,0.8789
roll_min_temperature_14,-0.8783,0.8783
roll_mean_wind_speed_7,-0.8781,0.8781
interact_co_pm25,0.8766,0.8766
lag_pm10_14,0.8741,0.8741
roll_max_temperature_14,-0.8721,0.8721
roll_min_wind_speed_30,-0.8695,0.8695
lag_temperature_7,-0.8682,0.8682
interact_no2_co,0.8664,0.8664
interact_pressure_temp_stability,0.8612,0.8612
roll_min_wind_speed_14,-0.8589,0.8589
roll_median_wind_speed_7,-0.8585,0.8585
roll_episode_flag,0.8577,0.8577
roll_std_pm25_30,0.8575,0.8575
roll_std_pm25_14,0.8451,0.8451
roll_min_temperature_30,-0.8393,0.8393
roll_mean_temperature_30,-0.8373,0.8373
roll_median_temperature_30,-0.8369,0.8369
roll_max_wind_speed_14,-0.8368,0.8368
roll_mean_wind_speed_3,-0.8338,0.8338
roll_min_wind_speed_7,-0.8336,0.8336
roll_max_wind_speed_30,-0.8324,0.8324
lag_temperature_14,-0.8315,0.8315
roll_max_temperature_30,-0.8222,0.8222
roll_max_wind_speed_7,-0.8215,0.8215
lag_aqi_30,0.8204,0.8204
lag_co_30,0.8148,0.8148
roll_std_pm10_14,0.8126,0.8126
roll_median_wind_speed_3,-0.8099,0.8099
lag_pm25_30,0.8083,0.8083
cos_month,0.8005,0.8005
roll_min_wind_speed_3,-0.792,0.792
roll_max_wind_speed_3,-0.7899,0.7899
roll_std_pm25_7,0.7693,0.7693
roll_std_pm10_30,0.7674,0.7674
roll_std_pm10_7,0.7644,0.7644
lag_pm10_30,0.7627,0.7627
